  1  2  3  4  6  5  8  7  9 10 11 12 13
  2  1  4  3  5  6  8  7 10  9 11 12 13
 67  4 15
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15
  2  1  4  3  6  5  7  9  8 11 10 12 13 14 15
  1  2  5  6  3  4  7 10 11  8  9 12 14 13 15
  2  1  6  5  4  3  7 11 10  9  8 12 14 13 15
 68  4  9
  1  2  3  4  5  6  7  8  9
  2  1  3  4  5  6  7  8  9
  1  2  4  3  6  5  7  8  9
  2  1  4  3  6  5  7  8  9
 69 12 16
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
  2  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16
  1  2  5  3  4  6  9  7  8 11 12 10 15 13 14 16
  2  1  5  3  4  6  9  7  8 11 12 10 15 13 14 16
  1  2  4  5  3  6  8  9  7 12 10 11 14 15 13 16
  2  1  4  5  3  6  8  9  7 12 10 11 14 15 13 16
  1  2  4  3  5  6  8  7  9 10 12 11 14 13 15 16
  2  1  4  3  5  6  8  7  9 10 12 11 14 13 15 16
  1  2  3  5  4  6  7  9  8 11 10 12 13 15 14 16
  2  1  3  5  4  6  7  9  8 11 10 12 13 15 14 16
  1  2  5  4  3  6  9  8  7 12 11 10 15 14 13 16
  2  1  5  4  3  6  9  8  7 12 11 10 15 14 13 16
 70 12  8
  1  2  3  4  5  6  7  8
  2  1  4  3  5  6  7  8
  1  2  3  4  7  5  6  8
  2  1  4  3  7  5  6  8
  1  2  3  4  6  7  5  8
  2  1  4  3  6  7  5  8
  1  2  3  4  6  5  7  8
  2  1  4  3  6  5  7  8
  1  2  3  4  5  7  6  8
  2  1  4  3  5  7  6  8
  1  2  3  4  7  6  5  8
  2  1  4  3  7  6  5  8
 71 24 15
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15
  3  4  1  2  6  5  8  7  9 10 11 12 13 14 15
  2  1  4  3  5  6  8  7 10  9 11 12 13 14 15
  4  3  2  1  6  5  7  8 10  9 11 12 13 14 15
  1  3  4  2  9 10  5  6  7  8 11 14 12 13 15
  3  1  2  4  9 10  6  5  8  7 11 14 12 13 15
  4  2  1  3 10  9  6  5  7  8 11 14 12 13 15
  2  4  3  1 10  9  5  6  8  7 11 14 12 13 15
  1  4  2  3  7  8  9 10  5  6 11 13 14 12 15
  3  2  4  1  8  7  9 10  6  5 11 13 14 12 15
  2  3  1  4  8  7 10  9  5  6 11 13 14 12 15
  4  1  3  2  7  8 10  9  6  5 11 13 14 12 15
  1  4  3  2  7  8  5  6  9 10 11 13 12 14 15
  3  2  1  4  8  7  6  5  9 10 11 13 12 14 15
